Poziom;Item
1;(t)Ziemniak/1,(t)Potek leczący/0.5
2;(t)Ziemniak/1,(t)Potek leczący/0.5
3;(t)Ziemniak/1,(t)Potek leczący/0.5
4;(t)Ziemniak/1,(t)Potek leczący/0.5
5;(t)Ziemniak/1,(t)Potek leczący/0.5
6;(t)Ziemniak/1,(t)Potek leczący/0.5
7;(t)Ziemniak/1,(t)Potek leczący/0.5
8;(t)Ziemniak/1,(t)Potek leczący/0.5
9;(t)Ziemniak/1,(t)Potek leczący/0.5
10;(t)Ziemniak/1,(t)Potek leczący/0.5
11;(t)Ziemniak/1,(t)Potek leczący/0.5
12;(t)Ziemniak/1,(t)Potek leczący/0.5
13;(t)Ziemniak/1,(t)Potek leczący/0.5
14;(t)Ziemniak/1,(t)Potek leczący/0.5
15;(t)Ziemniak/1,(t)Potek leczący/0.5
16;(t)Ziemniak/1,(t)Potek leczący/0.5
17;(t)Ziemniak/1,(t)Potek leczący/0.5
18;(t)Ziemniak/1,(t)Potek leczący/0.5
19;(t)Ziemniak/1,(t)Potek leczący/0.5
20;(t)Ziemniak/1,(t)Potek leczący/0.5